epoch,train_loss,val_loss,val_accuracy,val_macro_f1,elapsed_seconds
1,2.1992775149103454,2.0922513860406995,0.2482319305813312,0.23022896407550117,36.15026617050171
2,1.932070323004521,2.0168388423813486,0.29076591262476803,0.27847062206163753,13.125961542129517
3,1.7085967742419825,1.909585338642899,0.3348046345989868,0.3296995078723792,12.238518476486206
4,1.5180015702469305,1.9608649134474485,0.34413402216983496,0.33788731731493016,12.614347457885742
5,1.3623052008479861,2.048386455072517,0.3568239955860962,0.3536715212416349,12.821553468704224
6,1.243685108008791,2.0942081218976734,0.3563224156091689,0.3539838135621333,13.181479215621948
7,1.1528163932255937,2.2066945430836262,0.35511862366454333,0.34794191777854,13.33556866645813
8,1.07005675157132,2.410643681615491,0.33329989466820487,0.3130455783363262,13.636548042297363
9,1.0032250719304587,2.0442600861448113,0.38676832020865726,0.38099389943359985,13.851287364959717
10,0.943404651578418,2.2544996676548092,0.3649495912123188,0.3587862078536658,13.892435789108276
11,0.9019908649896677,2.3550925919241514,0.3532126197522195,0.3417020380842778,14.455169677734375
12,0.848252430715264,2.3638990712379893,0.347695240006019,0.34549082994658176,14.812656164169312
13,0.8226957244687595,2.277512872052263,0.3813010984601495,0.3794592705478343,14.78137469291687
14,0.7980187017160436,2.2231573624435588,0.3704168129608266,0.36141997972013407,14.54328989982605
15,0.7569100583746051,2.56346455440482,0.34027185634749463,0.3271412792655123,14.76347827911377
16,0.7405152434061454,2.1857838660931526,0.37879319857551286,0.3753454272125648,14.905426025390625
17,0.715803251623747,2.393089580268016,0.3641972212469278,0.35074266119044284,15.35462236404419
18,0.6991682915703534,2.7608407110210504,0.31704870341575964,0.29258990543403696,15.182254076004028
19,0.6818067693137608,2.76197654498271,0.32893614886893713,0.2988736382795908,15.239013910293579
